date,trades_count,gross_pnl,charges,net_pnl,equity,daily_return_pct
2023-01-05,5,101.37,152.51,-51.14,99948.86,-0.05
2023-01-06,5,389.76,152.32,237.44,100186.3,0.24
2023-01-09,5,0.0,152.69,-152.69,100033.61,-0.15
2023-01-10,5,0.0,152.53,-152.53,99881.08,-0.15
2023-01-11,5,0.0,152.69,-152.69,99728.39,-0.15
2023-01-12,5,-5.87,152.51,-158.38,99570.01,-0.16
2023-01-13,5,0.0,152.28,-152.28,99417.73,-0.15
2023-01-16,5,-692.16,151.27,-843.43,98574.3,-0.85
2023-01-17,5,-633.66,150.11,-783.77,97790.53,-0.8
2023-01-18,5,-0.0,149.39,-149.39,97641.14,-0.15
2023-01-19,5,0.0,149.2,-149.2,97491.94,-0.15
2023-01-20,5,0.0,148.99,-148.99,97342.95,-0.15
2023-01-23,5,0.0,148.42,-148.42,97194.53,-0.15
2023-01-24,5,264.0,148.6,115.4,97309.93,0.12
2023-01-25,5,0.0,148.19,-148.19,97161.74,-0.15
2023-01-27,5,-668.52,147.45,-815.97,96345.77,-0.84
2023-01-30,5,0.0,146.98,-146.98,96198.79,-0.15
2023-01-31,5,0.0,146.25,-146.25,96052.54,-0.15
2023-02-01,5,1521.42,148.13,1373.29,97425.83,1.43
2023-02-02,5,0.0,146.07,-146.07,97279.76,-0.15
2023-02-03,5,0.0,147.43,-147.43,97132.33,-0.15
2023-02-06,5,0.0,147.53,-147.53,96984.8,-0.15
2023-02-07,5,-45.98,148.08,-194.06,96790.74,-0.2
2023-02-08,5,0.0,147.71,-147.71,96643.03,-0.15
2023-02-09,5,-1.89,147.43,-149.32,96493.71,-0.15
2023-02-10,5,0.0,146.9,-146.9,96346.81,-0.15
2023-02-13,5,-0.0,146.77,-146.77,96200.04,-0.15
2023-02-14,5,-658.8,145.04,-803.84,95396.2,-0.84
2023-02-15,5,-19.71,145.36,-165.07,95231.13,-0.17
2023-02-16,5,152.76,145.73,7.03,95238.16,0.01
2023-02-17,5,-40.32,145.24,-185.56,95052.6,-0.19
2023-02-20,5,0.0,145.11,-145.11,94907.49,-0.15
2023-02-21,5,0.0,144.98,-144.98,94762.51,-0.15
2023-02-22,5,0.0,144.86,-144.86,94617.65,-0.15
2023-02-23,5,0.0,144.65,-144.65,94473.0,-0.15
2023-02-24,5,253.5,144.2,109.3,94582.3,0.12
2023-02-27,5,-1308.0,143.43,-1451.43,93130.87,-1.53
2023-02-28,5,20.89,142.25,-121.36,93009.52,-0.13
2023-03-01,5,-780.18,141.07,-921.25,92088.27,-0.99
2023-03-02,5,-8.13,140.39,-148.52,91939.74,-0.16
2023-03-03,5,0.0,140.0,-140.0,91799.74,-0.15
2023-03-06,5,-45.0,139.74,-184.74,91615.0,-0.2
2023-03-08,5,0.0,139.13,-139.13,91475.87,-0.15
2023-03-09,5,0.0,138.81,-138.81,91337.06,-0.15
2023-03-10,5,0.0,139.24,-139.24,91197.82,-0.15
2023-03-13,5,-27.84,139.33,-167.17,91030.65,-0.18
2023-03-14,5,-635.06,138.24,-773.3,90257.35,-0.85
2023-03-15,5,0.0,137.92,-137.92,90119.43,-0.15
2023-03-16,5,131.71,137.8,-6.09,90113.34,-0.01
2023-03-17,5,340.86,137.88,202.98,90316.32,0.23
2023-03-20,5,0.0,138.03,-138.03,90178.29,-0.15
2023-03-21,5,0.0,137.78,-137.78,90040.51,-0.15
2023-03-22,5,-841.58,136.93,-978.51,89062.0,-1.09
2023-03-23,5,0.0,136.13,-136.13,88925.87,-0.15
2023-03-24,5,-25.32,135.89,-161.21,88764.66,-0.18
2023-03-27,5,-48.36,134.93,-183.29,88581.37,-0.21
2023-03-28,5,-188.73,135.16,-323.89,88257.48,-0.37
2023-03-29,5,-556.53,134.49,-691.02,87566.46,-0.78
2023-03-31,5,0.0,133.85,-133.85,87432.61,-0.15
2023-04-03,5,-613.34,133.16,-746.5,86686.11,-0.85
2023-04-05,5,-0.0,132.61,-132.61,86553.5,-0.15
2023-04-06,5,0.0,132.18,-132.18,86421.32,-0.15
2023-04-10,5,-0.0,131.51,-131.51,86289.81,-0.15
2023-04-11,5,-29.16,131.25,-160.41,86129.4,-0.19
2023-04-12,5,-608.04,131.24,-739.28,85390.12,-0.86
2023-04-13,5,0.0,130.57,-130.57,85259.55,-0.15
2023-04-17,5,0.0,130.32,-130.32,85129.23,-0.15
2023-04-18,5,-485.68,129.47,-615.15,84514.08,-0.72
2023-04-19,5,1170.3,130.14,1040.16,85554.24,1.23
2023-04-20,5,0.0,130.84,-130.84,85423.4,-0.15
2023-04-21,5,-621.93,129.57,-751.5,84671.9,-0.88
2023-04-24,5,64.74,126.6,-61.86,84610.04,-0.07
2023-04-25,5,176.7,129.13,47.57,84657.61,0.06
2023-04-26,5,0.0,129.4,-129.4,84528.21,-0.15
2023-04-27,5,320.85,129.45,191.4,84719.61,0.23
2023-04-28,5,0.0,129.45,-129.45,84590.16,-0.15
2023-05-02,5,-593.93,128.83,-722.76,83867.4,-0.85
2023-05-03,5,0.0,127.85,-127.85,83739.55,-0.15
2023-05-04,5,-680.01,126.98,-806.99,82932.56,-0.96
2023-05-05,5,63.9,126.7,-62.8,82869.76,-0.08
2023-05-08,5,-0.0,126.41,-126.41,82743.35,-0.15
2023-05-09,5,-1310.62,125.37,-1435.99,81307.36,-1.74
2023-05-10,5,-0.0,124.36,-124.36,81183.0,-0.15
2023-05-11,5,0.0,123.98,-123.98,81059.02,-0.15
2023-05-12,5,0.0,121.89,-121.89,80937.13,-0.15
2023-05-15,5,0.0,123.39,-123.39,80813.74,-0.15
2023-05-16,5,-717.2,122.92,-840.12,79973.62,-1.04
2023-05-17,5,-0.0,122.27,-122.27,79851.35,-0.15
2023-05-18,5,176.4,122.07,54.33,79905.68,0.07
2023-05-19,5,0.0,121.83,-121.83,79783.85,-0.15
2023-05-22,5,642.23,121.76,520.47,80304.32,0.65
2023-05-23,5,0.0,122.34,-122.34,80181.98,-0.15
2023-05-24,5,0.0,122.46,-122.46,80059.52,-0.15
2023-05-25,5,0.0,120.52,-120.52,79939.0,-0.15
2023-05-26,5,-311.82,121.85,-433.67,79505.33,-0.54
2023-05-29,5,-536.8,119.09,-655.89,78849.44,-0.82
2023-05-30,5,0.0,120.14,-120.14,78729.3,-0.15
2023-05-31,5,-589.53,118.3,-707.83,78021.47,-0.9
2023-06-01,5,0.0,118.2,-118.2,77903.27,-0.15
2023-06-02,5,-1160.63,117.22,-1277.85,76625.42,-1.64
2023-06-05,5,-468.2,116.64,-584.84,76040.58,-0.76
2023-06-06,5,0.0,116.09,-116.09,75924.49,-0.15
2023-06-07,5,-1018.05,115.19,-1133.24,74791.25,-1.49
2023-06-08,5,-1118.96,113.34,-1232.3,73558.95,-1.65
2023-06-09,5,0.0,111.07,-111.07,73447.88,-0.15
2023-06-12,5,0.0,110.97,-110.97,73336.91,-0.15
2023-06-13,5,0.0,112.06,-112.06,73224.85,-0.15
2023-06-14,5,91.35,111.88,-20.53,73204.32,-0.03
2023-06-15,5,0.0,111.35,-111.35,73092.97,-0.15
2023-06-16,5,0.0,111.61,-111.61,72981.36,-0.15
2023-06-19,5,1092.99,112.6,980.39,73961.75,1.34
2023-06-20,5,-613.68,112.36,-726.04,73235.71,-0.98
2023-06-21,5,-548.4,111.2,-659.6,72576.11,-0.9
2023-06-22,5,0.0,109.54,-109.54,72466.57,-0.15
2023-06-23,5,2.52,110.36,-107.84,72358.72,-0.15
2023-06-26,5,-0.88,107.79,-108.67,72250.06,-0.15
2023-06-27,5,31.2,110.25,-79.05,72171.01,-0.11
2023-06-28,5,0.0,110.38,-110.38,72060.63,-0.15
2023-06-30,5,-10.5,107.62,-118.12,71942.5,-0.16
2023-07-03,5,-101.4,109.69,-211.09,71731.41,-0.29
2023-07-04,5,4.71,109.28,-104.57,71626.84,-0.15
2023-07-05,5,0.0,109.11,-109.11,71517.73,-0.15
2023-07-06,5,-535.53,108.25,-643.78,70873.95,-0.9
2023-07-07,5,-987.56,107.47,-1095.03,69778.92,-1.55
2023-07-10,5,0.0,106.68,-106.68,69672.24,-0.15
2023-07-11,5,0.0,103.74,-103.74,69568.5,-0.15
2023-07-12,5,-419.35,105.83,-525.18,69043.32,-0.75
2023-07-13,5,0.0,105.34,-105.34,68937.98,-0.15
2023-07-14,5,90.0,105.11,-15.11,68922.87,-0.02
2023-07-17,5,0.0,104.13,-104.13,68818.74,-0.15
2023-07-18,5,0.0,105.13,-105.13,68713.61,-0.15
2023-07-19,5,0.0,103.48,-103.48,68610.13,-0.15
2023-07-20,5,0.0,104.79,-104.79,68505.34,-0.15
2023-07-21,5,0.0,104.27,-104.27,68401.07,-0.15
2023-07-24,5,151.28,104.61,46.67,68447.74,0.07
2023-07-25,5,-37.32,104.16,-141.48,68306.26,-0.21
2023-07-26,5,-0.0,103.44,-103.44,68202.82,-0.15
2023-07-27,5,-552.34,102.77,-655.11,67547.71,-0.96
2023-07-28,5,-779.73,102.52,-882.25,66665.47,-1.31
2023-07-31,5,0.0,101.18,-101.18,66564.29,-0.15
2023-08-01,5,33.3,100.52,-67.22,66497.07,-0.1
2023-08-02,5,0.0,101.07,-101.07,66396.0,-0.15
2023-08-03,5,-454.86,100.91,-555.77,65840.23,-0.84
2023-08-04,5,-425.2,98.73,-523.93,65316.3,-0.8
2023-08-07,5,0.0,99.9,-99.9,65216.4,-0.15
2023-08-08,5,-416.64,98.96,-515.6,64700.79,-0.79
2023-08-09,5,0.0,96.79,-96.79,64604.0,-0.15
2023-08-10,5,-449.97,98.29,-548.26,64055.74,-0.85
2023-08-11,5,-874.2,96.22,-970.42,63085.32,-1.51
2023-08-14,5,0.0,95.44,-95.44,62989.89,-0.15
2023-08-16,5,-45.36,94.51,-139.87,62850.02,-0.22
2023-08-17,5,0.0,94.81,-94.81,62755.21,-0.15
2023-08-18,5,0.0,94.81,-94.81,62660.4,-0.15
2023-08-21,5,20.28,95.68,-75.4,62585.0,-0.12
2023-08-22,5,79.5,95.52,-16.02,62568.98,-0.03
2023-08-23,5,-513.42,95.22,-608.64,61960.34,-0.97
2023-08-24,5,-432.0,94.31,-526.31,61434.03,-0.85
2023-08-25,5,14.83,93.24,-78.41,61355.62,-0.13
2023-08-28,5,1032.24,94.37,937.87,62293.49,1.53
2023-08-29,5,-434.3,94.86,-529.16,61764.33,-0.85
2023-08-30,5,0.0,93.78,-93.78,61670.55,-0.15
2023-08-31,5,-429.88,91.95,-521.83,61148.72,-0.85
2023-09-01,5,-422.85,92.96,-515.81,60632.91,-0.84
2023-09-04,5,0.0,90.93,-90.93,60541.98,-0.15
2023-09-05,5,0.0,92.42,-92.42,60449.56,-0.15
2023-09-06,5,0.0,92.37,-92.37,60357.19,-0.15
2023-09-07,5,0.0,92.27,-92.27,60264.92,-0.15
2023-09-08,5,0.0,91.14,-91.14,60173.78,-0.15
2023-09-11,5,0.0,91.87,-91.87,60081.91,-0.15
2023-09-12,5,-69.6,91.61,-161.21,59920.7,-0.27
2023-09-13,5,0.0,91.19,-91.19,59829.51,-0.15
2023-09-14,5,0.0,91.1,-91.1,59738.41,-0.15
2023-09-15,5,-292.04,91.05,-383.09,59355.32,-0.64
2023-09-18,5,-0.0,90.32,-90.32,59265.0,-0.15
2023-09-20,5,-413.06,89.72,-502.78,58762.22,-0.85
2023-09-21,5,-0.0,89.49,-89.49,58672.73,-0.15
2023-09-22,5,-411.14,88.41,-499.55,58173.18,-0.85
2023-09-25,5,18.6,88.18,-69.58,58103.6,-0.12
2023-09-26,5,0.0,88.57,-88.57,58015.03,-0.15
2023-09-27,5,21.15,88.03,-66.88,57948.15,-0.12
2023-09-28,5,119.0,87.6,31.4,57979.55,0.05
2023-09-29,5,-404.91,84.07,-488.98,57490.57,-0.84
2023-10-03,5,36.63,87.39,-50.76,57439.81,-0.09
2023-10-04,5,0.0,87.28,-87.28,57352.53,-0.15
2023-10-05,5,0.0,87.44,-87.44,57265.09,-0.15
2023-10-06,5,-48.85,87.48,-136.33,57128.76,-0.24
2023-10-09,5,-396.0,85.47,-481.47,56647.29,-0.84
2023-10-10,5,-395.28,86.14,-481.42,56165.87,-0.85
2023-10-11,5,0.0,85.32,-85.32,56080.55,-0.15
2023-10-12,5,0.0,85.38,-85.38,55995.17,-0.15
2023-10-13,5,0.0,85.36,-85.36,55909.81,-0.15
2023-10-16,5,0.0,85.49,-85.49,55824.32,-0.15
2023-10-17,5,141.81,83.58,58.23,55882.55,0.1
2023-10-18,5,0.0,84.88,-84.88,55797.67,-0.15
2023-10-19,5,-0.0,83.92,-83.92,55713.75,-0.15
2023-10-20,5,-21.06,83.12,-104.18,55609.57,-0.19
2023-10-23,5,882.75,85.86,796.89,56406.46,1.43
2023-10-25,5,25.76,85.77,-60.01,56346.45,-0.11
2023-10-26,5,-54.72,85.72,-140.44,56206.01,-0.25
2023-10-27,5,915.66,86.25,829.41,57035.42,1.48
2023-10-30,5,0.0,85.64,-85.64,56949.78,-0.15
