date,ticker,symbol,surge_prob,entry_price,high,low,close,target,stop_loss,exit_price,exit_reason,qty,capital_invested,total_outlay_with_fees,gross_pnl,charges,net_pnl,net_return_pct
2022-12-30,HECPROJECT.NS,HECPROJECT,55.0,56.44,57.54999923706055,55.099998474121094,57.54999923706055,60.96,54.46,57.54999923706055,Square-off,353,19923.32,19954.19,391.83,30.87,360.96,1.81
2022-12-30,SANDESH.NS,SANDESH,53.2,1171.24,1322.0,1110.0,1233.0999755859375,1264.94,1171.24,1171.24,Stop Loss (Both Hit),17,19911.08,19941.59,0.0,30.51,-30.51,-0.15
2022-12-30,UNIINFO.NS,UNIINFO,52.1,21.06,21.350000381469727,20.350000381469727,21.299999237060547,22.74,20.32,21.299999237060547,Square-off,948,19964.88,19995.67,227.52,30.79,196.73,0.99
2022-12-30,AKG.NS,AKG,48.8,37.51,38.900001525878906,37.45000076293945,37.45000076293945,40.51,37.51,37.51,Breakeven SL,532,19955.32,19985.9,0.0,30.58,-30.58,-0.15
2022-12-30,NACLIND.NS,NACLIND,47.9,104.2,110.75,103.6500015258789,104.5,112.54,104.2,104.2,Breakeven SL,191,19902.2,19932.7,0.0,30.5,-30.5,-0.15
2023-01-02,MOLDTECH.NS,MOLDTECH,63.2,149.58,163.8000030517578,143.1999969482422,154.9499969482422,161.55,149.58,149.58,Stop Loss (Both Hit),133,19894.14,19924.63,0.0,30.49,-30.49,-0.15
2023-01-02,AVROIND.NS,AVROIND,61.2,15.56,16.94499969482422,15.024999618530273,15.494999885559082,16.8,15.56,15.56,Stop Loss (Both Hit),1283,19963.48,19994.07,0.0,30.59,-30.59,-0.15
2023-01-02,DUCON.NS,DUCON,59.8,12.94,13.899999618530273,12.699999809265137,12.850000381469727,13.98,12.94,12.94,Breakeven SL,1543,19966.42,19997.02,0.0,30.6,-30.6,-0.15
2023-01-02,VIJIFIN.NS,VIJIFIN,49.8,2.39,2.4890289306640625,2.377579927444458,2.4147300720214844,2.58,2.39,2.39,Breakeven SL,8355,19968.45,19999.05,0.0,30.6,-30.6,-0.15
2023-01-02,TAINWALCHM.NS,TAINWALCHM,48.3,119.9,128.6999969482422,114.0999984741211,124.0999984741211,129.49,119.9,119.9,Breakeven SL,166,19903.4,19933.9,0.0,30.5,-30.5,-0.15
2023-01-03,CORDSCABLE.NS,CORDSCABLE,57.7,80.18,87.9000015258789,76.6500015258789,83.44999694824219,86.59,80.18,80.18,Stop Loss (Both Hit),249,19964.82,19995.42,0.0,30.6,-30.6,-0.15
